1	47
2	9
3	52,14
4	1,52
5	2,52
6	3
7	43
8	15
9	16,10,43
10	40,43
11	38
12	49,30
13	52
14	52,47
15	4,37
16	52
17	5
18	19
19	6
20	33,14
21	52
22	7
23	10
24	30,46
25	52,9
26	52,25
27	38,47
28	42
29	37,45
30	39
31	23
32	40,43
33	24,31
34	45
35	1,52
36	2
37	17,3
38	49,9
39	52
40	52,10,26
41	17
42	4,52
43	17,11
44	34
45	29
46	52,5
47	52
48	37,31
49	48,16
50	48,6
51	43
52	36,7
53	16,52
54	41
55	8
56	32,17
57	32
58	52
59	34,52
60	17,19
61	36
62	52
63	17,43
64	1
65	2,52
66	3,9
67	51,14
68	51,23
69	48,52
70	17
71	11,43
72	4
73	44,15
74	52,5
75	52
76	51,6
77	35
78	7
79	49,52
80	15
81	37
82	50,11
83	33
84	52
85	20
86	28
87	23
88	39
89	52
90	32,52,12
91	43
92	15
93	52
94	52
95	1
96	2,52
97	3
98	13
99	37
100	31
101	52
102	52
103	4
104	45,47
105	5
106	17
107	52
108	6
109	10
110	13,47
111	38,7
112	52
113	24
114	19
115	13
116	52
117	26
118	9
119	14
120	52,12
121	37,13
122	41
123	52
124	52
125	1
126	2
127	3,52
128	19,26
129	46
130	16,45
131	43
132	16,52
133	52
134	26
135	4,47
136	49
137	52,5
138	31
139	37,6
140	39
141	24
142	7,14
143	35
144	52,11
145	32,19
146	28
147	52
148	41
149	34,52
150	29
151	8
152	32
153	20
154	10,26
155	1,52
156	2
157	3,52
158	43
159	50,20,9
160	52,42
161	34,4
162	23,12
163	24
164	52,5
165	39
166	50
167	52
168	18
169	52,6
170	22
171	7
172	17,25
173	14
174	52
175	23,41
176	16
177	16,17
178	52
179	52
180	20
181	18
182	22
183	1,52
184	2,36
185	3
186	52
187	40
188	28
189	52,23
190	11
191	52
192	4,39
193	33,45
194	52
195	52,5
196	32
197	17
198	6,9
199	11
200	21
201	52,7
202	43,47
203	52
204	52
205	37
206	32
207	29
208	41
209	25
210	8
211	48
212	52
213	1
214	2
215	3
216	33,42,45
217	17
218	52
219	52
220	21
221	40
222	23
223	40
224	4
225	52
226	52,5
227	52
228	6
229	49
230	16
231	52,7
232	16,29,30
233	45
234	48
235	16,10
236	52
237	18
238	48
239	52,22,42
240	28
241	30
242	1
243	2,52
244	3,52
245	49,10
246	16,25
247	52
248	43,30
249	14
250	37,8
251	43
252	33,26
253	22
254	52,47
255	4
256	52
257	52
258	18,5
259	50,43
260	14
261	6
262	52
263	7
264	49
265	52
266	8
267	52
268	21
269	48,17,40
270	10
271	39
272	1,17
273	2,27
274	3
275	52
276	52,25
277	40,11
278	30
279	52
280	41
281	52
282	48,25
283	4
284	37
285	18,41
286	52
287	5
288	31
289	52
290	13
291	6
292	13
293	12
294	7
295	26
296	16,52,40
